competition_id,season_id,country_name,competition_name,competition_gender,season_name,match_updated,match_available
9,352,Germany,1. Bundesliga,male,2027/2028,,
9,351,Germany,1. Bundesliga,male,2026/2027,,
9,318,Germany,1. Bundesliga,male,2025/2026,2026-05-04T22:59:48.000000,2026-05-04T22:59:48.000000
9,317,Germany,1. Bundesliga,male,2024/2025,2025-11-18T10:36:51.000000,2025-11-18T10:36:51.000000
9,281,Germany,1. Bundesliga,male,2023/2024,2024-09-28T20:46:38.893391,2024-09-28T20:46:38.893391
9,235,Germany,1. Bundesliga,male,2022/2023,2024-09-28T20:44:37.146405,2024-09-28T20:44:37.146405
9,108,Germany,1. Bundesliga,male,2021/2022,2024-12-15T12:42:25.055985,2024-12-15T12:42:25.055985
9,90,Germany,1. Bundesliga,male,2020/2021,2025-11-02T03:18:41.000000,2025-11-02T03:18:41.000000
9,42,Germany,1. Bundesliga,male,2019/2020,2025-01-07T18:24:29.770639,2025-01-07T18:24:29.770639
9,4,Germany,1. Bundesliga,male,2018/2019,2025-01-21T14:04:53.976605,2025-01-21T14:04:53.976605
9,1,Germany,1. Bundesliga,male,2017/2018,2024-12-24T06:13:46.829794,2024-12-24T06:13:46.829794
9,2,Germany,1. Bundesliga,male,2016/2017,2024-12-15T12:37:27.495074,2024-12-15T12:37:27.495074
260,352,Denmark,1. Division,male,2027/2028,,
260,351,Denmark,1. Division,male,2026/2027,,
260,318,Denmark,1. Division,male,2025/2026,2026-05-04T15:16:22.000000,2026-05-04T15:16:22.000000
260,317,Denmark,1. Division,male,2024/2025,2025-05-28T22:51:51.447513,2025-05-28T22:51:51.447513
260,281,Denmark,1. Division,male,2023/2024,2026-03-19T12:09:49.000000,2026-03-19T12:09:49.000000
78,352,Croatia,1. HNL,male,2027/2028,,
78,351,Croatia,1. HNL,male,2026/2027,,
78,318,Croatia,1. HNL,male,2025/2026,2026-05-04T19:03:45.936644,2026-05-04T14:16:31.000000
78,317,Croatia,1. HNL,male,2024/2025,2025-06-26T18:52:59.637444,2025-06-26T18:52:59.637444
78,281,Croatia,1. HNL,male,2023/2024,2026-04-06T21:49:46.000000,2026-04-06T21:49:46.000000
78,235,Croatia,1. HNL,male,2022/2023,2025-04-23T14:00:31.773197,2025-04-23T14:00:31.773197
78,108,Croatia,1. HNL,male,2021/2022,2024-09-23T07:55:22.744720,2024-09-23T07:55:22.744720
78,90,Croatia,1. HNL,male,2020/2021,2025-04-23T14:31:54.079436,2025-04-23T14:31:54.079436
78,42,Croatia,1. HNL,male,2019/2020,2025-04-23T14:30:36.080629,2025-04-23T14:30:36.080629
1714,318,Slovenia,1. SNL,male,2025/2026,2026-05-04T19:09:25.000000,2026-05-04T19:09:25.000000
1714,317,Slovenia,1. SNL,male,2024/2025,2026-04-05T08:18:51.999493,2025-06-16T19:55:14.171440
10,352,Germany,2. Bundesliga,male,2027/2028,,
10,351,Germany,2. Bundesliga,male,2026/2027,,
10,318,Germany,2. Bundesliga,male,2025/2026,2026-05-04T23:30:14.000000,2026-05-04T23:30:14.000000
10,317,Germany,2. Bundesliga,male,2024/2025,2025-11-18T10:39:47.000000,2025-11-18T10:39:47.000000
10,281,Germany,2. Bundesliga,male,2023/2024,2026-04-15T11:26:18.000000,2026-04-15T11:26:18.000000
10,235,Germany,2. Bundesliga,male,2022/2023,2025-02-02T16:10:54.701166,2025-02-02T16:10:54.701166
10,108,Germany,2. Bundesliga,male,2021/2022,2024-09-29T03:16:58.273645,2024-09-29T03:16:58.273645
10,90,Germany,2. Bundesliga,male,2020/2021,2025-04-23T14:29:20.280448,2025-04-23T14:29:20.280448
10,42,Germany,2. Bundesliga,male,2019/2020,2024-12-16T16:50:08.456115,2024-12-16T16:50:08.456115
10,4,Germany,2. Bundesliga,male,2018/2019,2025-07-14T10:00:54.698374,2025-07-14T10:00:54.698374
1581,318,Austria,2. Liga,male,2025/2026,2026-05-04T00:22:11.000000,2026-05-04T00:22:11.000000
1581,317,Austria,2. Liga,male,2024/2025,2026-04-19T15:30:51.225936,2026-01-06T09:49:23.000000
179,352,Germany,3. Liga,male,2027/2028,,
179,351,Germany,3. Liga,male,2026/2027,,
179,318,Germany,3. Liga,male,2025/2026,2026-05-04T09:21:41.657102,2026-05-04T08:37:42.000000
179,317,Germany,3. Liga,male,2024/2025,2025-11-18T10:38:41.000000,2025-11-18T10:38:41.000000
179,281,Germany,3. Liga,male,2023/2024,2025-01-29T17:18:43.877348,2025-01-29T17:18:43.877348
179,235,Germany,3. Liga,male,2022/2023,2025-11-19T18:13:47.000000,2025-11-19T18:13:47.000000
179,108,Germany,3. Liga,male,2021/2022,2025-04-23T14:51:43.796091,2025-04-23T14:51:43.796091
179,90,Germany,3. Liga,male,2020/2021,2025-04-23T14:14:40.158181,2025-04-23T14:14:40.158181
93,352,Australia,A-League,male,2027/2028,,
93,351,Australia,A-League,male,2026/2027,,
93,318,Australia,A-League,male,2025/2026,2026-05-04T06:03:39.000000,2026-05-04T06:03:39.000000
93,317,Australia,A-League,male,2024/2025,2025-07-26T16:54:46.508193,2025-07-26T16:54:46.508193
93,281,Australia,A-League,male,2023/2024,2024-08-31T14:07:36.841136,2024-08-31T14:07:36.841136
93,235,Australia,A-League,male,2022/2023,2024-09-28T18:03:46.405204,2024-09-28T18:03:46.405204
